起点ID,起点类型,关系名称,终点ID,终点类型,示例
330cfc1476ad,诗文实体,具有主题,a89544b661092f54,主题实体,临江仙·送钱穆父 → 具有主题 → 送别
444df93c9bdf,诗文实体,具有主题,a89544b661092f54,主题实体,白雪歌送武判官归京 → 具有主题 → 送别
d50eb19399e6,诗文实体,具有主题,a89544b661092f54,主题实体,渡荆门送别 → 具有主题 → 送别
12a2295aa76b,诗文实体,具有主题,a89544b661092f54,主题实体,送元二使安西 → 具有主题 → 送别
f433a64dd504,诗文实体,具有主题,a89544b661092f54,主题实体,芙蓉楼送辛渐 → 具有主题 → 送别
b7820a12ebaa,诗文实体,具有主题,a89544b661092f54,主题实体,赋得古原草送别 → 具有主题 → 送别
fc41cc295b54,诗文实体,具有主题,a89544b661092f54,主题实体,和董传留别 → 具有主题 → 送别
ee1bd6238d4a,诗文实体,具有主题,a89544b661092f54,主题实体,卜算子·送鲍浩然之浙东 → 具有主题 → 送别
4b3ccba01be6,诗文实体,具有主题,a89544b661092f54,主题实体,别董大 → 具有主题 → 送别
8ca2131b3450,诗文实体,具有主题,a89544b661092f54,主题实体,送柴侍御 → 具有主题 → 送别
a70899a5c2a2,诗文实体,具有主题,a89544b661092f54,主题实体,鹧鸪天·送人 → 具有主题 → 送别
2a8ac16f6025,诗文实体,具有主题,a89544b661092f54,主题实体,鹧鸪天·送廓之秋试 → 具有主题 → 送别
6368d3d62fcd,诗文实体,具有主题,a89544b661092f54,主题实体,送别 → 具有主题 → 送别
ad4d98d510ea,诗文实体,具有主题,a89544b661092f54,主题实体,走马川行奉送封大夫出师西征 → 具有主题 → 送别
fefa0c7ac1f7,诗文实体,具有主题,a89544b661092f54,主题实体,贺新郎·别茂嘉十二弟 → 具有主题 → 送别
214bea9d63ff,诗文实体,具有主题,a89544b661092f54,主题实体,送灵澈上人 → 具有主题 → 送别
dc090c40cab3,诗文实体,具有主题,a89544b661092f54,主题实体,送别 → 具有主题 → 送别
f2da3d53a0ea,诗文实体,具有主题,a89544b661092f54,主题实体,长相思·吴山青 → 具有主题 → 送别
543166678e8b,诗文实体,具有主题,a89544b661092f54,主题实体,于易水送人 → 具有主题 → 送别
8d6d2b44ac80,诗文实体,具有主题,a89544b661092f54,主题实体,谢亭送别 → 具有主题 → 送别
c743b1310a1c,诗文实体,具有主题,7885449f5bb55e5a,主题实体,劝学 → 具有主题 → 劝学
9b5ed8061abe,诗文实体,具有主题,7885449f5bb55e5a,主题实体,劝学 → 具有主题 → 劝学
51c560529d2a,诗文实体,具有主题,7885449f5bb55e5a,主题实体,冬夜读书示子聿 → 具有主题 → 劝学
6fb0a58e157c,诗文实体,具有主题,7885449f5bb55e5a,主题实体,送东阳马生序 → 具有主题 → 劝学
d6640103678f,诗文实体,具有主题,7885449f5bb55e5a,主题实体,论语十二章 → 具有主题 → 劝学
6a23fa2dab40,诗文实体,具有主题,7885449f5bb55e5a,主题实体,劝学 → 具有主题 → 劝学
85ebee46dc2c,诗文实体,具有主题,7885449f5bb55e5a,主题实体,劝学诗 → 具有主题 → 劝学
87cc93edceb0,诗文实体,具有主题,7885449f5bb55e5a,主题实体,孙权劝学 → 具有主题 → 劝学
c32939ae6ed4,诗文实体,具有主题,7885449f5bb55e5a,主题实体,送东阳马生序 → 具有主题 → 劝学
a23349cddf1e,诗文实体,具有主题,7885449f5bb55e5a,主题实体,劝学诗 → 具有主题 → 劝学
42a35d95ff08,诗文实体,具有主题,7885449f5bb55e5a,主题实体,劝学 → 具有主题 → 劝学
94a69d56db65,诗文实体,具有主题,7885449f5bb55e5a,主题实体,进学解 → 具有主题 → 劝学
0564d7f8b06b,诗文实体,具有主题,7885449f5bb55e5a,主题实体,白鹿洞二首·其一 → 具有主题 → 劝学
93d3f8d6676c,诗文实体,具有主题,7885449f5bb55e5a,主题实体,伤仲永 → 具有主题 → 劝学
b24ec2f5cfac,诗文实体,具有主题,7885449f5bb55e5a,主题实体,读书有所见作 → 具有主题 → 劝学
8074b3dafa95,诗文实体,具有主题,7885449f5bb55e5a,主题实体,读书要三到 → 具有主题 → 劝学
cf6704564609,诗文实体,具有主题,7885449f5bb55e5a,主题实体,劝学文 → 具有主题 → 劝学
c8a11b0e11f1,诗文实体,具有主题,7885449f5bb55e5a,主题实体,柏学士茅屋 → 具有主题 → 劝学
4a9040b9dca4,诗文实体,具有主题,7885449f5bb55e5a,主题实体,责子 → 具有主题 → 劝学
b15a0fbcdf44,诗文实体,具有主题,7885449f5bb55e5a,主题实体,与友人书 → 具有主题 → 劝学
444df93c9bdf,诗文实体,具有主题,2642c50598b64f71,主题实体,白雪歌送武判官归京 → 具有主题 → 边塞
eae647c5c110,诗文实体,具有主题,2642c50598b64f71,主题实体,使至塞上 → 具有主题 → 边塞
76a124fc2fb8,诗文实体,具有主题,2642c50598b64f71,主题实体,渔家傲·秋思 → 具有主题 → 边塞
a60e7fd3031b,诗文实体,具有主题,2642c50598b64f71,主题实体,雁门太守行 → 具有主题 → 边塞
4c7868ec4409,诗文实体,具有主题,2642c50598b64f71,主题实体,燕歌行·并序 → 具有主题 → 边塞
b9e14c6e09aa,诗文实体,具有主题,2642c50598b64f71,主题实体,出塞 → 具有主题 → 边塞
