起点ID,起点类型,关系名称,终点ID,终点类型,示例
9bbec11faf5c66db,名句实体,名句归属于,330cfc1476ad,诗文实体,人生如逆旅，我亦是行人。... → 归属于 → 苏轼《临江仙·送钱穆父》
c9e234218b9cbf9b,名句实体,名句归属于,38871dbf575d,诗文实体,醉后不知天在水，满船清梦压星河... → 归属于 → 唐温如《题龙阳县青草湖》
382c2c0895d57229,名句实体,名句归属于,85e93138ed65,诗文实体,人生若只如初见，何事秋风悲画扇... → 归属于 → 纳兰性德《木兰花·拟古决绝词柬友》
868502fcea4b8726,名句实体,名句归属于,4a96c8287eb5,诗文实体,山有木兮木有枝，心悦君兮君不知... → 归属于 → 佚名《越人歌》
8e8a5f933ab42d04,名句实体,名句归属于,826758a2d666,诗文实体,晓看天色暮看云，行也思君，坐也... → 归属于 → 唐寅《一剪梅·雨打梨花深闭门》
d7bcf62ea6d63066,名句实体,名句归属于,b8148e70fea6,诗文实体,休对故人思故国，且将新火试新茶... → 归属于 → 苏轼《望江南·超然台作》
402518ac8a299dae,名句实体,名句归属于,bd4224133394,诗文实体,曾经沧海难为水，除却巫山不是云... → 归属于 → 元稹《离思五首·其四》
8e2cf662057e174a,名句实体,名句归属于,63fb8f29f4a2,诗文实体,最是人间留不住，朱颜辞镜花辞树... → 归属于 → 王国维《蝶恋花·阅尽天涯离别苦》
9016013cc58e2405,名句实体,名句归属于,098e88b62d38,诗文实体,我见青山多妩媚，料青山见我应如... → 归属于 → 辛弃疾《贺新郎·甚矣吾衰矣》
54c2040fe487ec28,名句实体,名句归属于,c5ce0ac560ea,诗文实体,愿我如星君如月，夜夜流光相皎洁... → 归属于 → 范成大《车遥遥篇》
44464dd84f6285ce,名句实体,名句归属于,79730f08af17,诗文实体,欲买桂花同载酒，终不似，少年游... → 归属于 → 刘过《唐多令·芦叶满汀洲》
2d03cd5ae5c4c083,名句实体,名句归属于,52940038c6ee,诗文实体,满堂花醉三千客，一剑霜寒十四州... → 归属于 → 贯休《献钱尚父》
205706bb59a56dfb,名句实体,名句归属于,bb8a03a5d0c5,诗文实体,时人不识凌云木，直待凌云始道高... → 归属于 → 杜荀鹤《小松》
9d034d5a6086911d,名句实体,名句归属于,169ff9fbafcb,诗文实体,入我相思门，知我相思苦。... → 归属于 → 李白《三五七言 / 秋风词》
cbfc9f53ba1024e2,名句实体,名句归属于,567fcf6ffefb,诗文实体,十年生死两茫茫，不思量，自难忘... → 归属于 → 苏轼《江城子·乙卯正月二十日夜记梦》
dadda66d89e05e24,名句实体,名句归属于,de2ba4e71def,诗文实体,君埋泉下泥销骨，我寄人间雪满头... → 归属于 → 白居易《梦微之》
7a1cd18183acb6e7,名句实体,名句归属于,dd1ce6896a44,诗文实体,应是天仙狂醉，乱把白云揉碎。... → 归属于 → 李白《清平乐·画堂晨起》
67adb1d6b71e016c,名句实体,名句归属于,cbbb4bd0d351,诗文实体,桃李春风一杯酒，江湖夜雨十年灯... → 归属于 → 黄庭坚《寄黄几复》
d5367747ca195287,名句实体,名句归属于,475f8e88862c,诗文实体,人生自是有情痴，此恨不关风与月... → 归属于 → 欧阳修《玉楼春·尊前拟把归期说》
f743c1cdf29e0692,名句实体,名句归属于,170df91879a2,诗文实体,云想衣裳花想容，春风拂槛露华浓... → 归属于 → 李白《清平调·其一》
4345f73143475c19,名句实体,名句归属于,a2b349dd32e8,诗文实体,玲珑骰子安红豆，入骨相思知不知... → 归属于 → 温庭筠《南歌子词二首 / 新添声杨柳枝词》
ca8cc9920d0d1587,名句实体,名句归属于,837510c0a7c4,诗文实体,今人不见古时月，今月曾经照古人... → 归属于 → 李白《把酒问月·故人贾淳令予问之》
85f6eed2380b0675,名句实体,名句归属于,826758a2d666,诗文实体,雨打梨花深闭门，忘了青春，误了... → 归属于 → 唐寅《一剪梅·雨打梨花深闭门》
c122e4483c9a3c20,名句实体,名句归属于,fc41cc295b54,诗文实体,粗缯大布裹生涯，腹有诗书气自华... → 归属于 → 苏轼《和董传留别》
e192216233afa2cb,名句实体,名句归属于,8ca2131b3450,诗文实体,青山一道同云雨，明月何曾是两乡... → 归属于 → 王昌龄《送柴侍御》
aeb3d17262e67726,名句实体,名句归属于,6650a905deea,诗文实体,春风得意马蹄疾，一日看尽长安花... → 归属于 → 孟郊《登科后》
d0c176040bd3d382,名句实体,名句归属于,e07317133df0,诗文实体,莫道桑榆晚，为霞尚满天。... → 归属于 → 刘禹锡《酬乐天咏老见示》
