起点ID,起点类型,关系名称,终点ID,终点类型,示例
330cfc1476ad,诗文实体,属于形式,c809738f22126c36,形式实体,临江仙·送钱穆父 → 属于形式 → 词
38871dbf575d,诗文实体,属于形式,be6715edcbe7db8f,形式实体,题龙阳县青草湖 → 属于形式 → 诗
85e93138ed65,诗文实体,属于形式,c809738f22126c36,形式实体,木兰花·拟古决绝词柬友 → 属于形式 → 词
826758a2d666,诗文实体,属于形式,c809738f22126c36,形式实体,一剪梅·雨打梨花深闭门 → 属于形式 → 词
b8148e70fea6,诗文实体,属于形式,c809738f22126c36,形式实体,望江南·超然台作 → 属于形式 → 词
bd4224133394,诗文实体,属于形式,be6715edcbe7db8f,形式实体,离思五首·其四 → 属于形式 → 诗
63fb8f29f4a2,诗文实体,属于形式,c809738f22126c36,形式实体,蝶恋花·阅尽天涯离别苦 → 属于形式 → 词
098e88b62d38,诗文实体,属于形式,c809738f22126c36,形式实体,贺新郎·甚矣吾衰矣 → 属于形式 → 词
c5ce0ac560ea,诗文实体,属于形式,be6715edcbe7db8f,形式实体,车遥遥篇 → 属于形式 → 诗
79730f08af17,诗文实体,属于形式,c809738f22126c36,形式实体,唐多令·芦叶满汀洲 → 属于形式 → 词
52940038c6ee,诗文实体,属于形式,be6715edcbe7db8f,形式实体,献钱尚父 → 属于形式 → 诗
bb8a03a5d0c5,诗文实体,属于形式,be6715edcbe7db8f,形式实体,小松 → 属于形式 → 诗
169ff9fbafcb,诗文实体,属于形式,be6715edcbe7db8f,形式实体,三五七言 → 属于形式 → 诗
567fcf6ffefb,诗文实体,属于形式,c809738f22126c36,形式实体,江城子·乙卯正月二十日夜记梦 → 属于形式 → 词
de2ba4e71def,诗文实体,属于形式,be6715edcbe7db8f,形式实体,梦微之 → 属于形式 → 诗
dd1ce6896a44,诗文实体,属于形式,c809738f22126c36,形式实体,清平乐·画堂晨起 → 属于形式 → 词
cbbb4bd0d351,诗文实体,属于形式,be6715edcbe7db8f,形式实体,寄黄几复 → 属于形式 → 诗
475f8e88862c,诗文实体,属于形式,c809738f22126c36,形式实体,玉楼春·尊前拟把归期说 → 属于形式 → 词
170df91879a2,诗文实体,属于形式,c809738f22126c36,形式实体,清平调·其一 → 属于形式 → 词
a2b349dd32e8,诗文实体,属于形式,c809738f22126c36,形式实体,新添声杨柳枝词二首 → 属于形式 → 词
837510c0a7c4,诗文实体,属于形式,be6715edcbe7db8f,形式实体,把酒问月·故人贾淳令予问之 → 属于形式 → 诗
fc41cc295b54,诗文实体,属于形式,be6715edcbe7db8f,形式实体,和董传留别 → 属于形式 → 诗
8ca2131b3450,诗文实体,属于形式,be6715edcbe7db8f,形式实体,送柴侍御 → 属于形式 → 诗
6650a905deea,诗文实体,属于形式,be6715edcbe7db8f,形式实体,登科后 → 属于形式 → 诗
e07317133df0,诗文实体,属于形式,be6715edcbe7db8f,形式实体,酬乐天咏老见示 → 属于形式 → 诗
eafb4ea8a749,诗文实体,属于形式,be6715edcbe7db8f,形式实体,春宵 → 属于形式 → 诗
31bc973d596d,诗文实体,属于形式,be6715edcbe7db8f,形式实体,和子由渑池怀旧 → 属于形式 → 诗
0a65b1091d79,诗文实体,属于形式,be6715edcbe7db8f,形式实体,寒菊 → 属于形式 → 诗
d096804a25ff,诗文实体,属于形式,c809738f22126c36,形式实体,卜算子·我住长江头 → 属于形式 → 词
9008400cbb8c,诗文实体,属于形式,c809738f22126c36,形式实体,浣溪沙·残雪凝辉冷画屏 → 属于形式 → 词
c439b578d976,诗文实体,属于形式,fe4ece4d4b1d3c1b,形式实体,蟾宫曲·春情 → 属于形式 → 曲
6983ce743726,诗文实体,属于形式,be6715edcbe7db8f,形式实体,上李邕 → 属于形式 → 诗
e83cadaaf394,诗文实体,属于形式,c809738f22126c36,形式实体,鹊桥仙·纤云弄巧 → 属于形式 → 词
8f95ec72af42,诗文实体,属于形式,c809738f22126c36,形式实体,浣溪沙·细雨斜风作晓寒 → 属于形式 → 词
1da16040c5e0,诗文实体,属于形式,c809738f22126c36,形式实体,鹧鸪天·代人赋 → 属于形式 → 词
