诗文ID,标题,原文
330cfc1476ad,临江仙·送钱穆父,"一别都门三改火，天涯踏尽红尘。依然一笑作春温。无波真古井，有节是秋筠。
惆怅孤帆连夜发，送行淡月微云。尊前不用翠眉颦。人生如逆旅，我亦是行人。"
38871dbf575d,题龙阳县青草湖,"西风吹老洞庭波，一夜湘君白发多。
醉后不知天在水，满船清梦压星河。"
85e93138ed65,木兰花·拟古决绝词柬友,"人生若只如初见，何事秋风悲画扇。等闲变却故人心，却道故人心易变。
骊山语罢清宵半，泪雨霖铃终不怨。何如薄幸锦衣郎，比翼连枝当日愿。"
4a96c8287eb5,越人歌,"今夕何夕兮，搴舟中流。
今日何日兮，得与王子同舟。
蒙羞被好兮，不訾诟耻。
心几烦而不绝兮，得知王子。
山有木兮木有枝，心悦君兮君不知。"
826758a2d666,一剪梅·雨打梨花深闭门,"雨打梨花深闭门，孤负青春，虚负青春。赏心乐事共谁论？花下销魂，月下销魂。
愁聚眉峰尽日颦，千点啼痕，万点啼痕。晓看天色暮看云，行也思君，坐也思君。"
b8148e70fea6,望江南·超然台作,"春未老，风细柳斜斜。试上超然台上看，半壕春水一城花。烟雨暗千家。
寒食后，酒醒却咨嗟。休对故人思故国，且将新火试新茶。诗酒趁年华。"
bd4224133394,离思五首·其四,"曾经沧海难为水，除却巫山不是云。
取次花丛懒回顾，半缘修道半缘君。"
63fb8f29f4a2,蝶恋花·阅尽天涯离别苦,"阅尽天涯离别苦，不道归来，零落花如许。花底相看无一语，绿窗春与天俱莫。
待把相思灯下诉，一缕新欢，旧恨千千缕。最是人间留不住，朱颜辞镜花辞树。"
098e88b62d38,贺新郎·甚矣吾衰矣,"邑中园亭，仆皆为赋此词。一日，独坐停云，水声山色，竞来相娱。意溪山欲援例者，遂作数语，庶几仿佛渊明思亲友之意云。甚矣吾衰矣。怅平生、交游零落，只今余几！白发空垂三千丈，一笑人间万事。问何物、能令公喜？我见青山多妩媚，料青山见我应如是。情与貌，略相似。
一尊搔首东窗里。想渊明、停云诗就，此时风味。江左沉酣求名者，岂识浊醪妙理。回首叫、云飞风起。不恨古人吾不见，恨古人不见吾狂耳。知我者，二三子。"
c5ce0ac560ea,车遥遥篇,"车遥遥，马憧憧。
君游东山东复东，安得奋飞逐西风。
愿我如星君如月，夜夜流光相皎洁。
月暂晦，星常明。
留明待月复，三五共盈盈。"
79730f08af17,唐多令·芦叶满汀洲,"安远楼小集，侑觞歌板之姬黄其姓者，乞词于龙洲道人，为赋此《唐多令》。同柳阜之、刘去非、石民瞻、周嘉仲、陈孟参、孟容。时八月五日也。芦叶满汀洲，寒沙带浅流。二十年重过南楼。柳下系船犹未稳，能几日，又中秋。
黄鹤断矶头，故人今在否？旧江山浑是新愁。欲买桂花同载酒，终不似，少年游。"
52940038c6ee,献钱尚父,"贵逼人来不自由，龙骧凤翥势难收。
满堂花醉三千客，一剑霜寒十四州。
鼓角揭天嘉气冷，风涛动地海山秋。
东南永作金天柱，谁羡当时万户侯。"
bb8a03a5d0c5,小松,"自小刺头深草里，而今渐觉出蓬蒿。 
时人不识凌云木，直待凌云始道高。"
169ff9fbafcb,三五七言,"秋风清，秋月明，
落叶聚还散，寒鸦栖复惊。
相思相见知何日？此时此夜难为情！入我相思门，知我相思苦。
长相思兮长相忆，短相思兮无穷极。
早知如此绊人心，何如当初莫相识。"
567fcf6ffefb,江城子·乙卯正月二十日夜记梦,"十年生死两茫茫，不思量，自难忘。千里孤坟，无处话凄凉。纵使相逢应不识，尘满面，鬓如霜。
夜来幽梦忽还乡，小轩窗，正梳妆。相顾无言，惟有泪千行。料得年年肠断处，明月夜，短松冈。"
de2ba4e71def,梦微之,"夜来携手梦同游，晨起盈巾泪莫收。
漳浦老身三度病，咸阳宿草八回秋。
君埋泉下泥销骨，我寄人间雪满头。
阿卫韩郎相次去，夜台茫昧得知不？"
